PERIOD,PSGC,PROVINCE,LOCATION,GLOBAL_MORANS_I,LOCAL_MORANS_I,LOCAL_MORAN_CLUSTER,GI_STAR_Z_SCORE,GI_STAR_P_VALUE,HOTSPOT_CLASS,HOTSPOT_CLUSTER_ID,HOTSPOT_CLUSTER_SIZE,AUTOMATIC_ALERT,ALERT_REASON
2049-03,1204709000,Cotabato,MIDSAYAP,0.3231035570499148,-0.018439015251449878,NOT_SIGNIFICANT,-0.26053918938744086,0.794447890009353,NOT_SIGNIFICANT,0,0,0,NEIGHBOR_INFECTIOUS_PRESSURE
2049-03,1204710000,Cotabato,M'LANG,0.3231035570499148,-0.0237303433881673,NOT_SIGNIFICANT,-0.6341940129108671,0.5259542143475374,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1204711000,Cotabato,PIGKAWAYAN,0.3231035570499148,0.07106563213149099,NOT_SIGNIFICANT,-0.5957550908013067,0.55133884908772,NOT_SIGNIFICANT,0,0,1,NONE
2049-03,1204712000,Cotabato,PIKIT,0.3231035570499148,0.2826470845145058,NOT_SIGNIFICANT,-0.9792147235444353,0.3274738951710706,NOT_SIGNIFICANT,0,0,1,NEIGHBOR_INFECTIOUS_PRESSURE
2049-03,1204713000,Cotabato,PRESIDENT ROXAS,0.3231035570499148,0.16110583723734656,NOT_SIGNIFICANT,-0.8604193978856903,0.3895578967777441,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1204714000,Cotabato,TULUNAN,0.3231035570499148,-0.06788605506000156,NOT_SIGNIFICANT,0.16488260398582802,0.8690363849951968,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1204715000,Cotabato,ANTIPAS,0.3231035570499148,-1.5396352956537027,HIGH-LOW,-0.5980621754803684,0.549798447382081,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1204716000,Cotabato,BANISILAN,0.3231035570499148,0.6938232073964401,LOW-LOW,-1.5880737536130347,0.1122696624976004,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1204717000,Cotabato,ALEOSAN,0.3231035570499148,-0.22180815858749034,NOT_SIGNIFICANT,-0.809417983077316,0.4182747617078768,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1204718000,Cotabato,ARAKAN,0.3231035570499148,-0.14622195039559474,NOT_SIGNIFICANT,-0.18945885132011833,0.8497332028786764,NOT_SIGNIFICANT,0,0,0,NEIGHBOR_INFECTIOUS_PRESSURE
2049-03,1206302000,South Cotabato,BANGA,0.3231035570499148,1.4108702711538914,HIGH-HIGH,3.7500678341661438,0.00017678674041715444,HOT_SPOT_99,1,10,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER
2049-03,1206306000,South Cotabato,KORONADAL,0.3231035570499148,2.1413399949752727,HIGH-HIGH,3.0243869315247442,0.002491375781297437,HOT_SPOT_99,1,10,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER
2049-03,1206311000,South Cotabato,NORALA,0.3231035570499148,2.3524644815781386,HIGH-HIGH,4.054534944593091,5.023414099896055e-05,HOT_SPOT_99,1,10,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER
2049-03,1206312000,South Cotabato,POLOMOLOK,0.3231035570499148,0.013456006433230328,NOT_SIGNIFICANT,0.521029053252155,0.6023465323779349,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1206313000,South Cotabato,SURALLAH,0.3231035570499148,0.1851244114096368,NOT_SIGNIFICANT,0.9832362770970796,0.3254911642154398,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1206314000,South Cotabato,TAMPAKAN,0.3231035570499148,0.36513116404191925,HIGH-HIGH,2.4024779176276234,0.01628441771615395,HOT_SPOT_95,1,10,1,STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER
2049-03,1206315000,South Cotabato,TANTANGAN,0.3231035570499148,2.2509504286295083,HIGH-HIGH,3.5888213322918245,0.000332176386938281,HOT_SPOT_99,1,10,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER
2049-03,1206316000,South Cotabato,T'BOLI,0.3231035570499148,-0.27072566937112363,NOT_SIGNIFICANT,0.6121697577615646,0.540425448205238,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1206317000,South Cotabato,TUPI,0.3231035570499148,0.34929717741413485,NOT_SIGNIFICANT,1.6505207219540128,0.09883647862961345,HOT_SPOT_90,1,10,0,CONNECTED_HOTSPOT_CLUSTER
2049-03,1206318000,South Cotabato,SANTO NIÑO,0.3231035570499148,1.597151164344405,HIGH-HIGH,2.4924412846450283,0.012686830468224936,HOT_SPOT_95,1,10,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER
2049-03,1206319000,South Cotabato,LAKE SEBU,0.3231035570499148,0.25575009106702745,NOT_SIGNIFICANT,-1.4783295514127226,0.13931959160306454,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1206501000,Sultan Kudarat,BAGUMBAYAN,0.3231035570499148,-0.12263884835297356,NOT_SIGNIFICANT,0.8119927171767086,0.4167958104356866,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1206502000,Sultan Kudarat,COLUMBIO,0.3231035570499148,0.6645885797292117,HIGH-HIGH,1.6238656298447325,0.10440448935509206,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1206503000,Sultan Kudarat,ESPERANZA,0.3231035570499148,0.006804865294873023,NOT_SIGNIFICANT,-0.17671483434106283,0.8597323881423665,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1206504000,Sultan Kudarat,ISULAN,0.3231035570499148,0.1958106553488305,NOT_SIGNIFICANT,1.2159532454543203,0.22400273308711716,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1206505000,Sultan Kudarat,KALAMANSIG,0.3231035570499148,0.4318380264520381,LOW-LOW,-1.3334365362818696,0.18238858913422518,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1206506000,Sultan Kudarat,LEBAK,0.3231035570499148,0.133437108016938,NOT_SIGNIFICANT,-0.6668687366071068,0.5048559821112908,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1206507000,Sultan Kudarat,LUTAYAN,0.3231035570499148,-0.3653074133096984,LOW-HIGH,2.55585761422148,0.01059264533134268,HOT_SPOT_95,1,10,1,STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER
2049-03,1206508000,Sultan Kudarat,LAMBAYONG,0.3231035570499148,0.044219196055307254,NOT_SIGNIFICANT,1.087884098562061,0.27664627683968823,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1206509000,Sultan Kudarat,PALIMBANG,0.3231035570499148,0.6930552533978136,LOW-LOW,-1.692689437240556,0.09051459689031585,COLD_SPOT_90,0,0,1,NEIGHBOR_INFECTIOUS_PRESSURE
2049-03,1206510000,Sultan Kudarat,PRESIDENT QUIRINO,0.3231035570499148,-0.020963193001991356,NOT_SIGNIFICANT,1.7132311485713314,0.0866700233221485,HOT_SPOT_90,1,10,0,CONNECTED_HOTSPOT_CLUSTER
2049-03,1206511000,Sultan Kudarat,TACURONG,0.3231035570499148,1.5773092709549037,HIGH-HIGH,2.6001840513487857,0.009317377315975409,HOT_SPOT_99,1,10,1,TRANSMISSION_PRESSURE_PROXY+STATISTICAL_HOTSPOT+CONNECTED_HOTSPOT_CLUSTER
2049-03,1206512000,Sultan Kudarat,SEN. NINOY AQUINO,0.3231035570499148,0.3174365555520493,NOT_SIGNIFICANT,-1.251514916039068,0.21074667512440015,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1208001000,Sarangani,ALABEL,0.3231035570499148,0.36806164940990926,LOW-LOW,-1.1884195634464336,0.23466815264272523,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1208002000,Sarangani,GLAN,0.3231035570499148,0.8631449174957981,LOW-LOW,-1.6799592351389507,0.09296524739541852,COLD_SPOT_90,0,0,0,NONE
2049-03,1208003000,Sarangani,KIAMBA,0.3231035570499148,0.3295734982686998,NOT_SIGNIFICANT,-1.4624889017161433,0.143607283428671,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1208004000,Sarangani,MAASIM,0.3231035570499148,0.0767458340652272,NOT_SIGNIFICANT,-0.5786748936129728,0.5628085596105574,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1208005000,Sarangani,MAITUM,0.3231035570499148,0.2752507847475278,NOT_SIGNIFICANT,-1.3029697742090125,0.19258508090117743,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1208006000,Sarangani,MALAPATAN,0.3231035570499148,0.956379295178482,LOW-LOW,-1.6799592351389507,0.09296524739541852,COLD_SPOT_90,0,0,0,NONE
2049-03,1208007000,Sarangani,MALUNGON,0.3231035570499148,-0.36384906861869165,LOW-HIGH,0.5048946614985719,0.6136328238899367,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1230800000,General Santos City,GENERAL SANTOS,0.3231035570499148,-0.5019339642865989,HIGH-LOW,-0.5287220028482401,0.5969983114254305,NOT_SIGNIFICANT,0,0,0,NONE
2049-04,1204701000,Cotabato,ALAMADA,0.3243346025004834,0.33928852485827193,NOT_SIGNIFICANT,-1.0420156736579893,0.29740441226421344,NOT_SIGNIFICANT,0,0,1,NEIGHBOR_INFECTIOUS_PRESSURE
2049-04,1204702000,Cotabato,CARMEN,0.3243346025004834,0.5327055199882056,LOW-LOW,-1.54717183337155,0.12182181601194872,NOT_SIGNIFICANT,0,0,0,NEIGHBOR_INFECTIOUS_PRESSURE
2049-04,1204703000,Cotabato,KABACAN,0.3243346025004834,0.16437501931716242,NOT_SIGNIFICANT,-1.428424933606732,0.15316958675407075,NOT_SIGNIFICANT,0,0,0,NONE
2049-04,1204704000,Cotabato,KIDAPAWAN,0.3243346025004834,-0.2788905326722809,NOT_SIGNIFICANT,-1.0085503679606305,0.31319032037448735,NOT_SIGNIFICANT,0,0,0,NONE
2049-04,1204705000,Cotabato,LIBUNGAN,0.3243346025004834,-0.07811241280815599,NOT_SIGNIFICANT,-1.1089869231048863,0.2674358233282549,NOT_SIGNIFICANT,0,0,1,NEIGHBOR_INFECTIOUS_PRESSURE
