PERIOD,BASE_REGIONAL_SCENARIO_CASES,REGIONAL_SCENARIO_CASES,REGIONAL_DYNAMIC_RATIO,ALLOCATED_MUNICIPAL_CASES,NEW_INFECTIONS_ESTIMATE,NEW_ART_ENROLLMENTS,NEWLY_VIRALLY_SUPPRESSED,TREATMENT_INTERRUPTION,PLHIV_ATTRITION,TOTAL_POPULATION,PLHIV_UNDIAGNOSED,PLHIV_DIAGNOSED_NOT_ON_ART,PLHIV_ON_ART_UNSUPPRESSED,PLHIV_VIRALLY_SUPPRESSED,TOTAL_PLHIV,EFFECTIVE_INFECTIOUS_POOL,ACTIVE_TESTING_CENTERS,NEW_TESTING_CENTERS_OPENED,PENDING_TESTING_CENTERS,MEAN_TESTING_ACCESS_SCORE,MEAN_ART_COVERAGE,MEAN_VIRAL_SUPPRESSION_COVERAGE,LOWER_95_SUM,UPPER_95_SUM,HOT_SPOT_MUNICIPALITIES,HIGH_OR_CRITICAL_PRESSURE,ACTIVE_ALERTS,GLOBAL_MORANS_I,MAX_TRANSMISSION_PRESSURE,REGIONAL_PLHIV_PREVALENCE_PER_100K,REGIONAL_EFFECTIVE_INFECTIOUS_POOL_PER_100K
2032-03,184.5088054582142,53.67738172000977,0.29092043377933047,53.67738172000977,18.55176861300565,55.02709535500678,53.141311431903944,16.78660958046612,4.167550576235321,4872527.423449427,254.81434597792241,262.6587769527756,404.77192884829486,7859.627000595142,8781.872052374136,631.8857272939496,57.0,0,0,0.6475595902186905,0.9041821852961752,0.8514584659077462,7.959891711378979,161.1597203343892,1,3,8,-0.12807376727343658,81.20888476666359,180.2323781721715,12.968335986226554
2032-04,161.33393783318255,48.64307865396278,0.30150555616053437,48.64307865396279,16.525497779823827,56.660069342642515,53.19175249797922,16.873002365103307,4.147794174506054,4876657.5627317615,224.776383662247,271.18897088284416,406.25210677026666,7894.449584304675,8796.667045620034,643.870632685911,57.0,0,0,0.6474150577516445,0.9066532761853499,0.8536712294159672,6.598599558107654,152.7530611849649,2,5,10,-0.08896846612963276,77.76597933523695,180.38311963599097,13.203113493276192
2032-05,65.38704825352384,21.3930025174039,0.3271749236096001,21.3930025174039,7.999135120397393,52.8248840149918,52.7579588736581,16.94639034688034,4.126704094380819,4880851.341790499,214.45443216009733,256.3954355564581,404.333647155337,7928.750042564598,8803.933557436489,655.3021039535192,57.0,0,0,0.6472686296432356,0.9095863558030124,0.8565580082410179,0.0,105.96979026263732,3,6,9,-0.068314964261583,85.01759651805946,180.37700681551263,13.425979569234887
2032-06,128.33813342252793,29.79694497783545,0.23217530271953465,29.796944977835455,13.383140117191182,51.37431525927501,52.203427838597385,17.015438674902057,4.112000568546972,4885064.421240192,201.08746802307337,251.53130374518068,401.5260438773424,7962.408806391685,8816.553622037281,611.0148379356655,57.0,0,0,0.6471216322355665,0.9120078766144306,0.8589317452436802,0.25660243335507626,122.77963628301383,4,6,9,-0.00982816225136773,83.61448984280693,180.47978208236168,12.50781535815539
2032-07,90.33069305938038,26.20327681128966,0.2900816535755405,26.20327681128966,9.841425941937654,49.389906994825985,51.46707843550791,17.07888163219871,4.09427300145838,4889245.721864816,187.81523695573196,245.12904692761043,397.48253544837064,7995.245721522604,8825.672540854317,577.9412831394919,57.0,0,0,0.6469755977472209,0.9147733832974565,0.861670617381545,0.0,116.4178675413845,5,7,11,0.045754650989007606,87.75781555355599,180.51194484633308,11.82066347279143
2032-08,100.87960321964616,26.338577945314537,0.2610892301783473,26.33857794531454,10.616444100822827,47.90699511216997,50.63691903199954,17.138543481483808,4.078400286610898,4893351.116455309,175.0146436529101,240.41033423434814,392.80114571491356,8027.168917948016,8835.395041550188,538.9595929306682,57.0,0,0,0.6468318534994818,0.9174886614902392,0.8643663739586865,0.0,116.61345530484387,6,7,13,0.09624957475906444,79.9687214954678,180.55918799365563,11.01412059147484
2032-09,58.56953416477939,18.867811563539423,0.3221437874246492,18.867811563539423,6.813833090719186,45.29138382376597,49.5850718025983,17.190616797034085,4.0604900605378464,4897355.236974569,165.81357856856255,230.8999659166303,386.5776524463881,8057.959195046127,8841.250391977708,529.4559175691261,57.0,0,0,0.6466911660361908,0.9203012679941456,0.8672965473952521,0.0,102.08353736369028,8,8,12,0.12743636877370665,92.41359715965169,180.53112270123074,10.811058049695557
2032-10,133.6979965553593,26.132630298898206,0.19546014878448584,26.132630298898206,13.389973572110424,44.80534374641076,48.62111659411886,17.242004687392537,4.050073651444148,4901258.235680816,155.371692780959,229.19389404792247,380.85211833560334,8087.706765323721,8853.124470488206,492.12012329922646,57.0,0,0,0.6465535355660439,0.9225557996029381,0.8696434705559399,0.0,116.32791935579539,9,7,12,0.21963300600780794,84.01963129682322,180.62962702185496,10.040689546137898
2032-11,184.82860178486953,33.64033273384279,0.1820082628390941,33.64033273384279,17.97010726884659,45.669770057811974,47.88797304383149,17.297824857488518,4.04373352981148,4905085.694801085,141.6478738901973,234.18092684354406,376.7370266704151,8116.644214394651,8869.210041798808,489.8872984111091,57.0,0,0,0.646418195888258,0.9245394560524092,0.8715377817446304,0.47098206991851477,130.85020488302118,10,7,12,0.33876402725281995,92.32413228779357,180.81661756081672,9.987334144444045
2032-12,58.28780792744699,16.835112604317036,0.28882734147889605,16.835112604317036,6.809629894517822,43.178215802807266,46.935838840891016,17.346367256246545,4.027688245598866,4908881.722918645,133.9469794598544,224.91396987221881,371.10207571621254,8144.55476898154,8874.517794029825,501.1778935780937,57.0,0,0,0.6462838197936819,0.927321930934168,0.8743883782177656,0.0,98.1951118562208,10,11,12,0.382914937019419,86.30206657973235,180.78491792940076,10.209614365695316
